Ecell/V,I/mA,Capacity/mA.h
3.9183,-2861.3474,12868.1943
3.9183,-2861.1504,12873.4255
3.9213,0,12873.4255
3.9224,0,12873.4255
3.9234,0,12873.4255
3.9244,0,12873.4255
3.9254,0,12873.4255
3.9265,0,12873.4255
3.9242,-2861.1504,12873.4271
3.9232,-2861.3474,12875.6859
3.9221,-2862.135,12885.0263
3.9211,-2861.3474,12898.1832
3.9201,-2860.7563,12918.1372
3.9191,-2860.5593,12944.1439
3.918,-2861.3474,12975.0955
3.917,-2860.9534,13010.954
3.916,-2860.7563,13049.906
3.915,-2860.5593,13093.4213
3.9139,-2860.7563,13138.957
3.9129,-2860.7563,13186.0183
3.9119,-2861.5444,13234.0238
3.9109,-2859.7717,13283.5872
3.9098,-2860.1658,13333.4462
3.9097,-2861.1504,13350.2176
3.9126,0,13350.2176
3.9136,0,13350.2176
3.9146,0,13350.2176
3.9156,0,13350.2176
3.9167,0,13350.2176
3.9177,0,13350.2176
3.9156,-2862.135,13350.2192
3.9145,-2859.5747,13352.9104
3.9135,-2861.3474,13362.3875
3.9125,-2861.3474,13376.4744
3.9115,-2860.1658,13395.2758
3.9104,-2861.1504,13419.8505
3.9094,-2861.5444,13451.9647
3.9084,-2860.9534,13488.482
3.9073,-2860.5593,13528.6586
3.9063,-2860.3623,13572.4687
3.9053,-2861.3474,13617.425
3.9043,-2860.3623,13663.7911
3.9032,-2861.1504,13711.8956
3.9022,-2860.5593,13760.8027
3.9012,-2859.9688,13813.1626
3.9011,-2861.5444,13827.0203
3.904,0,13827.0203
3.905,0,13827.0203
3.9061,0,13827.0203
3.9071,0,13827.0203
3.9082,0,13827.0203
3.9092,0,13827.0203
3.907,-2862.332,13827.0218
3.9059,-2861.5444,13829.9182
3.9049,-2861.5444,13839.4398
3.9039,-2861.5444,13853.9831
3.9029,-2859.7717,13873.3171
3.9019,-2860.9534,13899.2351
3.9008,-2862.135,13930.3334
3.8998,-2860.5593,13965.3579
3.8988,-2860.7563,14005.5607
3.8978,-2860.7563,14047.7014
